2026-02-07 21:54:36 | INFO | FundooNotes application started
2026-02-07 22:58:47 | INFO | FundooNotes application stopped
2026-02-07 22:58:51 | INFO | FundooNotes application started
2026-02-07 22:58:54 | INFO | FundooNotes application stopped
2026-02-07 22:58:59 | INFO | FundooNotes application started
2026-02-07 22:59:32 | INFO | Login attempt for email: user1@example.com
2026-02-07 22:59:32 | INFO | Login successful for email: user1@example.com
2026-02-07 23:07:34 | INFO | FundooNotes application stopped
2026-02-07 23:07:39 | INFO | FundooNotes application started
2026-02-07 23:08:05 | INFO | Login attempt for email: user1@example.com
2026-02-07 23:08:05 | INFO | Login successful for email: user1@example.com
2026-02-07 23:09:44 | INFO | FundooNotes application stopped
2026-02-07 23:09:51 | INFO | FundooNotes application started
2026-02-07 23:20:50 | INFO | Register attempt for email: user3@example.com
2026-02-07 23:20:50 | INFO | User registered successfully: user3@example.com
2026-02-07 23:21:59 | INFO | Login attempt for email: user3@example.com
2026-02-07 23:21:59 | INFO | Login successful for email: user3@example.com
2026-02-07 23:41:59 | INFO | FundooNotes application stopped
2026-02-07 23:42:07 | INFO | FundooNotes application started
2026-02-07 23:42:07 | INFO | FundooNotes application stopped
2026-02-07 23:42:11 | INFO | FundooNotes application started
2026-02-07 23:42:11 | INFO | FundooNotes application stopped
2026-02-07 23:47:40 | INFO | FundooNotes application started
2026-02-07 23:47:50 | INFO | FundooNotes application stopped
2026-02-07 23:53:42 | INFO | FundooNotes application started
2026-02-07 23:54:32 | INFO | Login attempt for email: user3@example.com
2026-02-07 23:54:33 | INFO | Login successful for email: user3@example.com
2026-02-08 00:15:52 | INFO | FundooNotes application stopped
2026-02-08 00:25:56 | INFO | Register attempt for email: pytest_user@example.com
2026-02-08 00:25:56 | INFO | User registered successfully: pytest_user@example.com
2026-02-08 00:25:56 | INFO | Login attempt for email: pytest_user@example.com
2026-02-08 00:25:56 | INFO | Login successful for email: pytest_user@example.com
2026-02-08 00:25:57 | INFO | Login attempt for email: pytest_user@example.com
2026-02-08 00:25:57 | INFO | Login successful for email: pytest_user@example.com
2026-02-08 00:27:48 | INFO | Register attempt for email: pytest_user@example.com
2026-02-08 00:27:48 | WARNING | Registration failed, email already exists: pytest_user@example.com
2026-02-08 00:27:48 | INFO | Login attempt for email: pytest_user@example.com
2026-02-08 00:27:48 | INFO | Login successful for email: pytest_user@example.com
2026-02-08 00:27:48 | INFO | Login attempt for email: pytest_user@example.com
2026-02-08 00:27:48 | INFO | Login successful for email: pytest_user@example.com
2026-02-08 01:06:16 | INFO | FundooNotes application started
2026-02-08 01:08:58 | INFO | FundooNotes application stopped
2026-02-08 01:09:03 | INFO | FundooNotes application started
2026-02-08 01:09:13 | INFO | FundooNotes application stopped
2026-02-08 01:09:17 | INFO | FundooNotes application started
2026-02-08 01:09:17 | INFO | FundooNotes application stopped
2026-02-08 01:09:21 | INFO | FundooNotes application started
2026-02-08 01:09:25 | INFO | FundooNotes application stopped
2026-02-08 01:09:29 | INFO | FundooNotes application started
2026-02-08 01:09:29 | INFO | FundooNotes application stopped
2026-02-08 01:09:34 | INFO | FundooNotes application started
2026-02-08 01:09:34 | INFO | FundooNotes application stopped
2026-02-08 01:09:37 | INFO | FundooNotes application started
2026-02-08 01:09:41 | INFO | FundooNotes application stopped
2026-02-08 01:09:47 | INFO | FundooNotes application started
2026-02-08 01:10:05 | INFO | Login attempt for email: user1@example.com
2026-02-08 01:10:05 | INFO | Login successful for email: user1@example.com
2026-02-08 01:49:49 | INFO | Login attempt for email: user1@example.com
2026-02-08 01:49:49 | INFO | Login successful for email: user1@example.com
2026-02-08 02:20:50 | INFO | Login attempt for email: user1@example.com
2026-02-08 02:20:50 | INFO | Login successful for email: user1@example.com
2026-02-08 02:24:30 | INFO | Register attempt for email: user4@example.com
2026-02-08 02:24:30 | INFO | User registered successfully: user4@example.com
2026-02-08 02:24:46 | INFO | Login attempt for email: user4@example.com
2026-02-08 02:24:46 | INFO | Login successful for email: user4@example.com
2026-02-08 02:58:51 | INFO | FundooNotes application stopped
2026-02-08 02:58:57 | INFO | FundooNotes application started
2026-02-08 03:05:49 | INFO | Register attempt for email: user5@example.com
2026-02-08 03:05:50 | INFO | User registered successfully: user5@example.com
2026-02-08 03:24:53 | INFO | FundooNotes application stopped
2026-02-08 03:24:58 | INFO | FundooNotes application started
2026-02-08 03:45:38 | INFO | Register attempt for email: user6@example.com
2026-02-08 03:45:39 | INFO | User registered successfully: user6@example.com
2026-02-08 03:46:01 | INFO | Login attempt for email: user6@example.com
2026-02-08 03:46:02 | INFO | Login successful for email: user6@example.com
2026-02-08 03:46:34 | INFO | Login attempt for email: user6@example.com
2026-02-08 03:46:34 | INFO | Login successful for email: user6@example.com
2026-02-08 03:54:56 | INFO | Register attempt for email: user7@example.com
2026-02-08 03:54:56 | INFO | User registered successfully: user7@example.com
2026-02-08 03:55:10 | INFO | Login attempt for email: user7@gmail.com
2026-02-08 03:55:10 | WARNING | Login failed: user not found
2026-02-08 03:55:18 | INFO | Login attempt for email: user7@example.com
2026-02-08 03:55:18 | INFO | Login successful for email: user7@example.com
2026-02-08 03:55:56 | INFO | Register attempt for email: user8@example.com
2026-02-08 03:55:57 | INFO | User registered successfully: user8@example.com
2026-02-08 04:04:24 | INFO | Login attempt for email: user8@example.com
2026-02-08 04:04:24 | INFO | Login successful for email: user8@example.com
2026-02-08 04:04:52 | INFO | Register attempt for email: user9@example.com
2026-02-08 04:04:52 | INFO | User registered successfully: user9@example.com
2026-02-08 10:34:48 | INFO | FundooNotes application stopped
2026-02-08 10:34:51 | INFO | FundooNotes application started
2026-02-08 11:04:12 | INFO | Password reset token for user9@example.com: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ1c2VyOUBleGFtcGxlLmNvbSIsInB1cnBvc2UiOiJyZXNldCIsImV4cCI6MTc3MDUyOTc1Mn0.16LHCEKzXOJEWaOISF2Yl38I-s9gb6At4yQp51V9YWI
2026-02-08 12:36:03 | INFO | Register attempt for email: user12@example.com
2026-02-08 12:36:04 | INFO | User registered successfully: user12@example.com
2026-02-08 14:00:55 | INFO | FundooNotes application stopped
